name,categories,rating,price,address,phone,latitude,longitude
The Dabney,"New American, Desserts, Cocktail Bars",4.5,$$$$,"122 Blagden Aly NW, Washington, DC 20001",+12024501015,38.9063563388808,-77.0244961023773
The Dabney Cellar,"Bars, New American",4.5,,"1222 9th St NW, Washington, DC 20001",+12024501015,38.90638,-77.02418
Albi,Lebanese,4.5,,"1346 4th St SE, Washington, DC 20003",+12029219592,38.87433,-77.00038
L'Ardente,Italian,4.5,,"200 Massachusetts Ave NW, Washington, DC 20001",+12024480450,38.89891904977066,-77.01407410000002
Pineapple & Pearls,New American,4.5,$$$$,"715 8th St SE, Washington, DC 20003",+12025957375,38.88069,-76.99534
Sushi Nakazawa,"Japanese, Sushi Bars",4.5,$$$$,"1100 Pennsylvania Ave NW, Washington, DC 20004",+12022893515,38.893710652334576,-77.02776904642951
Sushi Ogawa,"Sushi Bars, Japanese",4.0,$$$$,"2100 Connecticut Ave NW, Washington, DC 20008",+12028139715,38.917947,-77.0477121
Daru,"Cocktail Bars, Indian",4.5,$$,"1451 Maryland Ave NE, Washington, DC 20002",+12023881848,38.89967919000323,-76.98389500861066
The Duck & The Peach,"Cocktail Bars, Breakfast & Brunch, Coffee & Tea",4.0,,"300 7th St SE, Washington, DC 20003",+12024311913,38.88576436932781,-76.995919
ANJU,Korean,4.0,$$,"1805 18th St NW, Washington, DC 20009",+12028458935,38.91437,-77.04149
The Inn at Little Washington,"Hotels, New American",4.5,$$$$,"309 Middle St, Washington, VA 22747",+15406753800,38.71373,-78.15954
Ellē,"Cafes, Bakeries, Cocktail Bars",4.0,$$,"3221 Mt Pleasant St NW, Washington, DC 20010",+12026520040,38.93173,-77.03816
Kinship,"New American, Desserts, Diners",4.5,$$$$,"1015 7th St NW, Washington, DC 20001",+12027377700,38.90342,-77.0216
Convivial,"French, Bars, Breakfast & Brunch",4.0,$$,"801 O St NW, Washington, DC 20001",+12025252870,38.9086949,-77.0231236
Fiola Mare,"Seafood, Italian, Bars",4.0,$$$$,"3050 K St NW, Ste 101, Washington, DC 20007",+12025251402,38.901628831044,-77.0609554767212
2fifty’s,Barbeque,4.5,,"1309 5th St NE, Washington, DC 20002",,38.908708311597366,-76.99752773080847
Le Diplomate,"Brasseries, French, Breakfast & Brunch",4.5,$$$,"1601 14th St NW, Washington, DC 20009",+12023323333,38.91135,-77.03157
All-Purpose Shaw,"Pizza, Italian, Wine Bars",4.0,$$,"1250 9th St NW, Washington, DC 20001",+12028496174,38.90694,-77.02419
Ama Ami,"Sushi Bars, Japanese",3.5,,"3210 Grace St NW, Washington, DC 20007",+12024226558,38.9038074254119,-77.06349099780734
Anafre,Mexican,4.5,$$,"3704 14th St NW, Washington, DC 20010",+12027582127,38.93742,-77.03309
Baan Siam,"Thai, Wine Bars, Beer Bar",4.5,$$,"425 I St NW, Washington, DC 20001",+12025885889,38.90147950746981,-77.01634228634687
Bar Spero,Seafood,4.0,,"250 Massachusetts Ave NW, Ste 155, Washington, DC 20001",+12025063150,38.89933,-77.01466
Bresca,"New American, French",4.5,$$$$,"1906 14th St NW, Washington, DC 20009",+12025187926,38.9158321,-77.0320749
Centrolina,Italian,4.0,$$$,"974 Palmer Aly, Washington, DC 20268",+12028982426,38.9002195432511,-77.0255389888855
Chang Chang,Asian Fusion,5.0,,"1200 19th St NW, Washington, DC 20009",+12025700946,38.91778759552077,-77.04441279172897
Chiko,"Chinese, Korean",4.5,$$,"2029 P St NW, Washington, DC 20036",+12023313040,38.90984,-77.04627
CHIKO,"Chinese, Korean",4.5,$$,"423 8th St SE, Washington, DC 20003",+12025589934,38.88303,-76.9952799
CHIKO,"Korean, Chinese",4.0,,"1500 S Capitol St SE, Washington, DC 20003",,38.8729454303494,-77.0069579386147
Chloe,"New American, Modern European",4.5,$$,"1331 4th St SE, Washington, DC 20003",+12023137007,38.87431,-77.00072
Del Mar,"Spanish, Seafood, Cocktail Bars",4.0,$$$,"791 Wharf St SW, Washington, DC 20024",+12025251402,38.878951,-77.024583
El Cielo,"Latin American, Seafood",4.0,$$$$,"1280 4th St NE, Washington, DC 20002",+12025699855,38.9086648,-76.9996112
El Centro,"Bars, Mexican",3.5,$$,"1218 Wisconsin Ave NW, Washington, DC 20007",+12023334100,38.90569,-77.06303
Estadio,"Spanish, Tapas/Small Plates",4.0,$$,"1520 14th St NW, Washington, DC 20005",+12023191404,38.9101686345639,-77.0320932872478
Etto,"Bars, Italian, Pizza",4.0,$$,"1541 14th St NW, Washington, DC 20005",+12022320920,38.910967,-77.031618
Fiola,Italian,4.0,$$$$,"601 Pennsylvania Ave NW, Washington, DC 20004",+12025251402,38.89388303448501,-77.02060594637774
Gravitas,New American,4.0,$$$$,"1401 Okie St NE, Washington, DC 20002",+12027637942,38.91444,-76.98413
Green Almond Pantry,"Mediterranean, Middle Eastern, Vegan",5.0,,"3210 Grace St NW, Washington, DC 20007",+12028686932,38.9038,-77.06351
Izakaya Seki,"Japanese, Noodles",4.0,$$$,"1117 V St NW, Washington, DC 20009",,38.91832,-77.02779
Jont,New American,4.5,$$$$,"1904 14th St NW, Fl 2, Washington, DC 20009",+12023877654,38.915791,-77.032215
La Bise,"French, Venues & Event Spaces",4.5,,"800 Connecticut Ave, Washington, DC 20006",+12024638700,38.90037349511,-77.03854483792946
Lapis,"Afghan, Cocktail Bars, Halal",4.5,$$,"1847 Columbia Rd NW, Washington, DC 20009",+12022999630,38.9212443139038,-77.0436972509161
Little Pearl,New American,4.0,$$$$,"921 Pennsylvania Ave SE, Washington, DC 20003",+12026181868,38.883149,-76.99350645159
Lutèce,"French, Bars",4.5,,"1522 Wisconsin Ave, Washington, DC 20007",+12023338830,38.909408,-77.0646
Makan,Malaysian,4.0,,"3400 11th St NW, Washington, DC 20010",,38.931928,-77.028447
Maketto,"Cafes, Cambodian, Taiwanese",4.0,$$,"1351 H St NE, Washington, DC 20002",+12028389972,38.89990414059217,-76.98666519999999
Masseria,"Italian, Cocktail Bars",4.0,$$$$,"1340 4th St NE, Washington, DC 20002",+12026081330,38.90968,-76.99915
Maydan,"Moroccan, Lebanese",4.5,$$$$,"1346 Florida Ave NW, Washington, DC 20009",,38.9198436416598,-77.0310185087658
Menya Hosaki,"Ramen, Noodles",4.5,$$,"845 Upshur St NW, Fl 1, Washington, DC 20011",+13018187650,38.942141,-77.024679
Moon Rabbit,"Vietnamese, Seafood, Cocktail Bars",4.0,,"801 Wharf St SW, Washington, DC 20024",+12028788566,38.879405,-77.025039
Moon Rabbit,"Vietnamese, Seafood, Cocktail Bars",4.0,,"670 Rhode Island Ave NE, Washington, DC 20002",+12028788566,38.9223715789907,-76.99657300000001
Nina May,New American,4.5,$$$,"1337 11th St NW, Washington, DC 20001",+12025183609,38.90844190192456,-77.02667000447393
Mayflower Chinese Food,Chinese,2.0,$,"4427 Wisconsin Ave NW, Washington, DC 20016",+12022448858,38.94732,-77.07896
Obelisk,Italian,4.0,$$$$,"2029 P St NW, Washington, DC 20036",+12028721180,38.9097234929698,-77.0462838664093
Oyster Oyster,"Vegetarian, Wine Bars, Pizza",4.5,$$$$,"1440 8th St NW, Washington, DC 20001",,38.90924048849111,-77.02313017273377
Oyster Oyster,Seafood,4.0,,"1440 8th St NW, Washington, DC 20001",,38.90934433806736,-77.0231821
Coastline Oyster,Seafood,4.5,,"319 Pennsylvania Ave SE, Washington, DC 20003",+12025061370,38.886439,-77.001409
