name,categories,rating,price,address,phone
The Dabney,"New American, Desserts, Cocktail Bars",4.5,$$$$,"122 Blagden Aly NW, Washington, DC 20001",+12024501015
The Dabney Cellar,"Bars, New American",4.5,,"1222 9th St NW, Washington, DC 20001",+12024501015
Albi,Lebanese,4.5,,"1346 4th St SE, Washington, DC 20003",+12029219592
L'Ardente,Italian,4.5,,"200 Massachusetts Ave NW, Washington, DC 20001",+12024480450
Pineapple & Pearls,New American,4.5,$$$$,"715 8th St SE, Washington, DC 20003",+12025957375
Sushi Nakazawa,"Japanese, Sushi Bars",4.5,$$$$,"1100 Pennsylvania Ave NW, Washington, DC 20004",+12022893515
Sushi Ogawa,"Sushi Bars, Japanese",4.0,$$$$,"2100 Connecticut Ave NW, Washington, DC 20008",+12028139715
Daru,"Cocktail Bars, Indian",4.5,$$,"1451 Maryland Ave NE, Washington, DC 20002",+12023881848
The Duck & The Peach,"Cocktail Bars, Breakfast & Brunch, Coffee & Tea",4.0,,"300 7th St SE, Washington, DC 20003",+12024311913
ANJU,Korean,4.0,$$,"1805 18th St NW, Washington, DC 20009",+12028458935
The Inn at Little Washington,"Hotels, New American",4.5,$$$$,"309 Middle St, Washington, VA 22747",+15406753800
Ellē,"Cafes, Bakeries, Cocktail Bars",4.0,$$,"3221 Mt Pleasant St NW, Washington, DC 20010",+12026520040
Kinship,"New American, Desserts, Diners",4.5,$$$$,"1015 7th St NW, Washington, DC 20001",+12027377700
Convivial,"French, Bars, Breakfast & Brunch",4.0,$$,"801 O St NW, Washington, DC 20001",+12025252870
Fiola Mare,"Seafood, Italian, Bars",4.0,$$$$,"3050 K St NW, Ste 101, Washington, DC 20007",+12025251402
2fifty’s,Barbeque,4.5,,"1309 5th St NE, Washington, DC 20002",
Le Diplomate,"Brasseries, French, Breakfast & Brunch",4.5,$$$,"1601 14th St NW, Washington, DC 20009",+12023323333
All-Purpose Shaw,"Pizza, Italian, Wine Bars",4.0,$$,"1250 9th St NW, Washington, DC 20001",+12028496174
Ama Ami,"Sushi Bars, Japanese",3.5,,"3210 Grace St NW, Washington, DC 20007",+12024226558
Anafre,Mexican,4.5,$$,"3704 14th St NW, Washington, DC 20010",+12027582127
Baan Siam,"Thai, Wine Bars, Beer Bar",4.5,$$,"425 I St NW, Washington, DC 20001",+12025885889
Bar Spero,Seafood,4.0,,"250 Massachusetts Ave NW, Ste 155, Washington, DC 20001",+12025063150
Bresca,"New American, French",4.5,$$$$,"1906 14th St NW, Washington, DC 20009",+12025187926
Centrolina,Italian,4.0,$$$,"974 Palmer Aly, Washington, DC 20268",+12028982426
Chang Chang,Asian Fusion,5.0,,"1200 19th St NW, Washington, DC 20009",+12025700946
Chiko,"Chinese, Korean",4.5,$$,"2029 P St NW, Washington, DC 20036",+12023313040
CHIKO,"Chinese, Korean",4.5,$$,"423 8th St SE, Washington, DC 20003",+12025589934
CHIKO,"Korean, Chinese",4.0,,"1500 S Capitol St SE, Washington, DC 20003",
Chloe,"New American, Modern European",4.5,$$,"1331 4th St SE, Washington, DC 20003",+12023137007
Del Mar,"Spanish, Seafood, Cocktail Bars",4.0,$$$,"791 Wharf St SW, Washington, DC 20024",+12025251402
El Cielo,"Latin American, Seafood",4.0,$$$$,"1280 4th St NE, Washington, DC 20002",+12025699855
El Centro,"Bars, Mexican",3.5,$$,"1218 Wisconsin Ave NW, Washington, DC 20007",+12023334100
